DateModified,VersionKey,Key,Translation,Comment
2018-11-22 13:02:52,Azuri,table_column_heading.location_level_two,location_level_two,
2018-11-23 06:02:39,Azuri,label.Max_Bags_Allowed_per_Voucher,Max Packages Allowed per Voucher,
2018-11-22 13:02:48,Azuri,custom_header.crop2,{DashboardUtil:uCrop2},
2018-11-23 05:26:26,Azuri,column_heading.farmer.farmownership,eligibleunitownership,
2018-11-22 13:02:46,Azuri,column.number_of_plots,Number of plots,
2018-11-22 13:02:44,Azuri,alert_success.resend.vouchers_found,There were {count} vouchers found. Notifications sent.,
2018-11-23 05:18:53,Azuri,table_heading.agro_dealer_profile,Retailer profile,
2018-11-22 13:02:53,Azuri,textfield.addComment,New Comment,
2018-11-23 05:09:40,Azuri,reports_farmername.Farmer_Name,Customer Name,
2018-11-22 13:02:51,Azuri,label.lipa_Mpesa_Till_Number,Lipa Mpesa Till Number,
2018-11-22 13:02:50,Azuri,label.bankAccountHolder,BankAccountHolder,
2019-01-18 16:02:32,Azuri,custom_header.reportsgenerictemplate_column_int8,{ReportsGenericViewerLabels:column_int8},
2018-11-23 05:49:31,Azuri,reports_totalfarmers.Total_Farmers,Total Customers,
2018-12-13 20:00:01,Azuri,column_heading.Group_Price,Group Price,
2018-11-22 13:02:49,Azuri,custom_header.stock_name,name,
2018-11-23 05:38:41,Azuri,button.add_crops,Add Criteria,
2018-11-23 05:24:52,Azuri,column.farm_size,Eligible unit,
2018-11-22 13:02:47,Azuri,column_heading.farmer.village,village,
2018-11-23 05:11:22,Azuri,column_heading.Farmer,Customer,
2018-11-22 13:02:45,Azuri,column.businessPermitNumber,BusinessPermitNumber,
2018-11-23 05:12:29,Azuri,alert.error.farmer_not_found_in_location,Customer not found in this location,
2019-01-18 16:02:34,Azuri,table_heading.Enterprises_by_reportlevel,Enterprises by reportlevel,
2018-11-23 05:55:32,Azuri,alert_error.invalid_farm_size,Invalid eligible units,
2018-11-23 05:28:08,Azuri,label.bags_available,Packages available,
