translationKey,sourceValue,overrideValue
reports_reportdescription.Internal_Notes,Internal Notes,Internal Notes
label.Internal_Notes,Internal Notes,Internal Notes
row_action.(Un)Archive,(Un)Archive,(Un)Archive
reportsviewheading.Permissions,Permissions,Permissions
reports_reportorder.Archived,Archived,Archived
reports_reportdescription.isGenericReport,IsGenericReport,IsGenericReport
reports_reportdescription.Report_Key,Report Key,Report Key
reports_reportdescription.Date_Created,Date Created,Date Created
reports_generic.String_Value,String Value,String Value
reports_generic.Report_Element,Report Element,Report Element
reports_generic.Report_Definition_Management,Report Definition Management,Report Definition Management
reports_generic.Definitions,Definitions,Definitions
reports_generic.Date_Modified,Date Modified,Date Modified
reports_generic.Date_Created,Date Created,Date Created
reports_generic.Date_Archived,Date Archived,Date Archived
label.isGenericReport,IsGenericReport,IsGenericReport
label.String_Value,String Value,String Value
label.Report_Key,Report Key,Report Key
label.Report_Element,Report Element,Report Element
label.Report,Report,Report
label.CreateEditMode,CreateEditMode,CreateEditMode
button.create,Create,Create
button.Edit_Definitions,Edit Definitions,Edit Definitions
view_heading.view_deposits_orders,View Deposited Orders,View Deposited Orders
view_heading.View_Paid_Orders,All orders paid,All orders paid
view_heading.View_Paid_Deposits,View Deposit Paid Orders,View Deposit Paid Orders
view_heading.Upload_Bank_Deposit_File,Bank Deposits Proof of Payment,Bank Deposits Proof of Payment
table_heading.Enterprises_by_reportlevel,Enterprises by reportlevel,Enterprises by reportlevel
table_heading.Deposited_Orders,Deposited Orders,Deposited Orders
info.user_location,User location,User location
fileupload.Bank_Deposits,Bank Deposits,Bank Deposits
custom_header.reportsgenerictemplate_viewHeading,{ReportsGenericViewerLabels:uViewHeading},{ReportsGenericViewerLabels:uViewHeading}
custom_header.reportsgenerictemplate_reportstableHeading,{ReportsGenericViewerLabels:uReportstableHeading},{ReportsGenericViewerLabels:uReportstableHeading}
custom_header.reportsgenerictemplate_column_string9,{ReportsGenericViewerLabels:column_string9},{ReportsGenericViewerLabels:column_string9}
custom_header.reportsgenerictemplate_column_string8,{ReportsGenericViewerLabels:column_string8},{ReportsGenericViewerLabels:column_string8}
custom_header.reportsgenerictemplate_column_string7,{ReportsGenericViewerLabels:column_string7},{ReportsGenericViewerLabels:column_string7}
custom_header.reportsgenerictemplate_column_string6,{ReportsGenericViewerLabels:column_string6},{ReportsGenericViewerLabels:column_string6}
custom_header.reportsgenerictemplate_column_string5,{ReportsGenericViewerLabels:column_string5},{ReportsGenericViewerLabels:column_string5}
custom_header.reportsgenerictemplate_column_string4,{ReportsGenericViewerLabels:column_string4},{ReportsGenericViewerLabels:column_string4}
custom_header.reportsgenerictemplate_column_string3,{ReportsGenericViewerLabels:column_string3},{ReportsGenericViewerLabels:column_string3}
custom_header.reportsgenerictemplate_column_string2,{ReportsGenericViewerLabels:column_string2},{ReportsGenericViewerLabels:column_string2}
custom_header.reportsgenerictemplate_column_string1,{ReportsGenericViewerLabels:column_string1},{ReportsGenericViewerLabels:column_string1}
