translationKey,sourceValue,overrideValue
confirm_body.removing_identity,Are you sure you would like to delete this kind of identification?,Are you sure you would like to delete this kind of identification?
alert_error.required_field,Please note this field is required.,Please note this field is required.
custom_header.crop10,{DashboardUtil:uCrop10},{DashboardUtil:uCrop10}
column.lipa_mpesa_number,Lipa mpesa number,Lipa mpesa number
table_heading.Fertilizer_Selected,Fertilizer Selected,Fertilizer Selected
view_heading.view_Location,View Location,View Location
table_heading.StringGroups,StringGroups,StringGroups
button.Upload_Content,Upload Content,Upload Content
view_heading.manage_Voucher_Template,Manage Voucher Template,Manage Voucher Template
reports_totalfarmers.Total_Farmers,Total Farmers,Total Farmers
label.bank_Name,Bank Name,Bank Name
button.Cancel,Cancel,Cancel
view_heading.Form_Report,Form Report,Form Report
model.system.config,Configs,Configs
column_heading.voucher_batch_location,Voucher batch location,Voucher batch location
confirm_body.Archive_Message_Schedule_Config,Are you sure you would like to archive this Message Schedule Configuration item?,Are you sure you would like to archive this Message Schedule Configuration item?
reportsviewheading.Fertilizer_Distribution_Status,Fertilizer Distribution Status,Fertilizer Distribution Status
column_heading.Female_Farmers,Female Farmers,Female Farmers
result.config_description_updated,Config description updated.,Config description updated.
alert_error.duplicate_scheduled_function_config,Unable to save new scheduled function.,Unable to save new scheduled function.
menu_item.ServicePointType,ServicePointType,ServicePointType
alert.error.voucher_batch.insufficient_stock,Insufficient stock for {fStockName} in county {fCountyName},Insufficient stock for {fStockName} in county {fCountyName}
alert.voucher.found,Voucher found.,Voucher found.
column_heading.Quantity,Quantity,Quantity
column_heading.quantity,Quantity,Quantity
custom_header.reportsgenerictemplate_column_string9,{ReportsGenericViewerLabels:column_string9},{ReportsGenericViewerLabels:column_string9}
column_heading.Current_Translation,Current Translation,Current Translation
info.LastUpdatePath,LastUpdatePath,LastUpdatePath
custom_header.crop37,{DashboardUtil:uCrop37},{DashboardUtil:uCrop37}
alert_error.template.exists,{field}: already exists.,{field}: already exists.
string_label.URL,URL,URL
view_heading.receive_Stock,Receive Stock,Receive Stock
alert.uploadfile.confirmprocessbodyquick,Please confirm that you wish to process this file immediately?,Please confirm that you wish to process this file immediately?
input.Comment,Comment,Comment
column_heading.farmer.nokfirstname,nokfirstname,nokfirstname
column.Date_Last_Updated,Date Last Updated,Date Last Updated
custom_header.crop72,{DashboardUtil:uCrop72},{DashboardUtil:uCrop72}
table_title.SMS_Content,SMS Content,SMS Content
button.Back,Back,Back
label.destination,Destination,Destination
alert.farmer.request.voucher_exists_active,Voucher already issued. Code: {voucherCode},Voucher already issued. Code: {voucherCode}
label.voucher_category,Voucher category,Voucher category
info.Processed_Time,Processed Time,Processed Time
info.scheduled_function_config_triggered,Scheduled Function manually triggered,Scheduled Function manually triggered
custom_header.crop2,{DashboardUtil:uCrop2},{DashboardUtil:uCrop2}
column.amount,Amount,Amount
custom_header.question_6,{Reportviewer:uQuestion6Header},{Reportviewer:uQuestion6Header}
custom_header.reportsgenerictemplate_column_int3,{ReportsGenericViewerLabels:column_int3},{ReportsGenericViewerLabels:column_int3}
table_heading.Orders,Orders,Orders
alert.crop.active_croptype,Crop is still in use by active VoucherBatches.,Crop is still in use by active VoucherBatches.
alert_success.sms.sms_injected,SMS Injected.,SMS Injected.
column_heading.type,Type,Type
label.desc,Desc,Desc
reportstableheading.Stock_Recon_Report,Stock Reconiliation Report,Stock Reconiliation Report
column.datetime_modified,Datetime modified,Datetime modified
view_heading.view_farmer_crop,View farmer crop,View farmer crop
custom_header.hierarchy_level_nine,Hierarchy level nine,Hierarchy level nine
alert_error.object_not_found,Object not found.,Object not found.
alert.field.empty,{uFieldName} is empty.,{uFieldName} is empty.
button.delete,Delete,Delete
column.Farmer_Mobile_Number,Farmer Mobile Number,Farmer Mobile Number
column.gender,Gender,Gender
column.receipt_number,Receipt number,Receipt number
column_heading.source,Source,Source
column.Verified_farmers,Verified farmers,Verified farmers
view_heading.issue_Stock,Issue Stock,Issue Stock
table_heading.available_web_users_for_Service_Point,Available web users for Service Point,Available web users for Service Point
column.agro_dealer,Agro dealer,Agro dealer
label.Location_Start,Location Start,Location Start
custom_header.crop19,{DashboardUtil:uCrop19},{DashboardUtil:uCrop19}
button.add_farmer,Add farmer,Add farmer
label.Enterprise_Category_*,Enterprise Category *,Enterprise Category *
alert.object.voucher_batch_request_code_required,Please enter a valid alphanumeric Request Code,Please enter a valid alphanumeric Request Code
table_heading.voucher,Voucher,Voucher
view_heading.edit_Voucher_Template,Edit Voucher Template,Edit Voucher Template
table_heading.Farmer_Vouchers,Farmer Vouchers,Farmer Vouchers
column_heading.content,Content,Content
label.initial_budget,Initial budget,Initial budget
custom_header.crop67,{DashboardUtil:uCrop67},{DashboardUtil:uCrop67}
label.Description,Description,Description
reportstableheading.Daily_Beneficiary_List_Report,Daily Beneficiary List Report,Daily Beneficiary List Report
view_heading.Manage_Stock_At_Locations,Manage Stock At Locations,Manage Stock At Locations
button_heading.Submit,Submit,Submit
column.path,Path,Path
view_heading.Main_Menu,Main Menu,Main Menu
info.Number_of_recipients_in_roles,Number of recipients in roles,Number of recipients in roles
column.bankAccountHolder,BankAccountHolder,BankAccountHolder
confirm_body.remove_web_user_role,Are you sure you would like to remove this Role from this user?,Are you sure you would like to remove this Role from this user?
info.messageCommand,MessageCommand,MessageCommand
menu_item.stock,Stock,Stock
button.Add,Add,Add
table_heading.Available_Object_Types,Available Object Types,Available Object Types
row_action._Toggle_Status,Toggle Status,Toggle Status
alert.object.voucher_template_no_category,Please select a category.,Please select a category.
column.quantity,Quantity,Quantity
custom_header.crop12,{DashboardUtil:uCrop12},{DashboardUtil:uCrop12}
reportsviewheading.Detailed_Till_Transactions_Report,Detailed Till Transactions Report,Detailed Till Transactions Report
button.Add_Variable,Add Variable,Add Variable
label.current_budget,Current budget,Current budget
custom_header.Subcounty_Header,{Reportviewer:uSubCountyHeader},{Reportviewer:uSubCountyHeader}
view_heading.farmer_sms_log,Farmer sms log,Farmer sms log
column_heading.farmer.locationlevel5,locationlevel5,locationlevel5
alert_error.Required_Number,Please note this field is required and may contain numbers only.,Please note this field is required and may contain numbers only.
button.Remove,Remove,Remove
alert.select_order_status.error,Please Select an Order Status,Please Select an Order Status
view_heading.view_mobile_user,View mobile user,View mobile user
alert.error.valid_dob,Please enter a valid date of birth,Please enter a valid date of birth
view_heading.Add_Fertilizer_To_Voucher_Template,Add Fertilizer To Voucher Template,Add Fertilizer To Voucher Template
label.mobile_number,Mobile number,Mobile number
custom_header.crop61,{DashboardUtil:uCrop61},{DashboardUtil:uCrop61}
button.add_location,Add location,Add location
view_heading.manage_stock_item,Manage stock item,Manage stock item
enum.ORDER_STATUS.Received,Received,Received
button.next,Next,Next
button.update_stock,Update stock,Update stock
input.Message_Id,Message Id,Message Id
alert.common.generic,{message},{message}
string_label.password,Password,Password
input.Dropdown_Item,Dropdown Item,Dropdown Item
label.datetime_modified,Datetime modified,Datetime modified
email.subjectKey,{emailSubject},{emailSubject}
column_heading.User_Uuid,User Uuid,User Uuid
button.add_extension_officer_profile,Add extension officer profile,Add extension officer profile
column_heading.length,Length,Length
row_action.(Un)Archive,(Un)Archive,(Un)Archive
string_label.first_name,First name,First name
reports_generic.Date_Archived,Date Archived,Date Archived
button_heading.Remove,Remove,Remove
input.length,Length,Length
column_heading.response,Response,Response
string_label.Lastname,Lastname,Lastname
custom_header.Aggregation_By_Type,{Reportviewer:uAggregationHeader},{Reportviewer:uAggregationHeader}
label.Total_Owed,Total Owed,Total Owed
column.datetime_created,Datetime created,Datetime created
button.voucher_logs,Voucher logs,Voucher logs
label.Stock_Status,Stock Status,Stock Status
button.select,Select,Select
enum.ORDER_STATUS.Partial_Delivery,Partial Delivery,Partial Delivery
label.businessRegType,BusinessRegType,BusinessRegType
view_heading.manage_Web_User,Manage Web User,Manage Web User
column.net_stock_movement,Net stock movement,Net stock movement
label.Manual_Changes_Required,Manual Changes Required,Manual Changes Required
custom_header.crop13,{DashboardUtil:uCrop13},{DashboardUtil:uCrop13}
column.start,Start,Start
column.date_created,Date created,Date created
column_heading.DateArchived,DateArchived,DateArchived
confirmation.send_messages_subject,Approve this message?,Approve this message?
view_heading.view_role_group,View role group,View role group
custom_header.crop24,{DashboardUtil:uCrop24},{DashboardUtil:uCrop24}
button_label.Filter_Remove,Filter Remove,Filter Remove
column_heading.farmer.gender,gender,gender
menu_item.messaging,Messaging,Messaging
view_heading.SMS_Content_Uploads_with_errors,SMS Content Uploads with errors,SMS Content Uploads with errors
column.datetime_archived,Datetime archived,Datetime archived
alert_error.no_message_content,alert_error.no_message_content,alert_error.no_message_content
alert_error.webuser.role_assigned,Role already assigned to Web User.,Role already assigned to Web User.
label.service_point_type,Service point type,Service point type
input.select_form,Select form,Select form
column_heading.Row,Row,Row
alert.error.no_service_point,Could not determine Service Point,Could not determine Service Point
column_heading.Gender,Gender,Gender
view_heading.view_action,View action,View action
custom_header.County_Header,{Reportviewer:uCountyHeader},{Reportviewer:uCountyHeader}
table_heading.Fertilizer_Available,Fertilizer Available,Fertilizer Available
label.dob,Dob,Dob
column_heading.first_name,First name,First name
alert.field.validation.integer,{uFieldName} needs to be a valid integer.,{uFieldName} needs to be a valid integer.
view_heading.Select_Location,Select Location,Select Location
button.add_voucher_template,Add voucher template,Add voucher template
table_heading.Deposited_Orders,Deposited Orders,Deposited Orders
column_heading.Description,Description,Description
view_heading.edit_voucher_category,Edit voucher category,Edit voucher category
row_action.change_state,Change state,Change state
column.redeemed,Redeemed,Redeemed
table_heading.Farmer_Crop_Vouchers_Report_Detail,Farmer Crop Vouchers Report Detail,Farmer Crop Vouchers Report Detail
label.Enterprise_Category,Enterprise Category,Enterprise Category
column_heading.mobile,Mobile,Mobile
custom_header.crop56,{DashboardUtil:uCrop56},{DashboardUtil:uCrop56}
reports_budgetallocatedksh.Budget_allocated_(Ksh),Budget allocated (Ksh),Budget allocated (Ksh)
button.Restore_langfileentries,Restore langfileentries,Restore langfileentries
column.description,Description,Description
view_heading.view_role_group_profile,View role group profile,View role group profile
info.characters,Characters,Characters
label.identification_type,Identification type,Identification type
column_heading.question_order,Question order,Question order
alert.object.voucher_batch_no_days,Please enter a valid number for Active voucher days.,Please enter a valid number for Active voucher days.
label.mobile_role,Mobile role,Mobile role
custom_header.crop90,{DashboardUtil:uCrop90},{DashboardUtil:uCrop90}
label.nok_first_name,Nok first name,Nok first name
column_heading.Price,Price,Price
custom_header.crop47,{DashboardUtil:uCrop47},{DashboardUtil:uCrop47}
view_heading.manage_crop,Manage crop,Manage crop
column_heading.location_level_two,Level 2,Level 2
label.Content,Content,Content
custom_header.crop55,{DashboardUtil:uCrop55},{DashboardUtil:uCrop55}
table_heading.Vouchers,Vouchers,Vouchers
column_heading.key,Key,Key
reportstableheading.Voucher_Codes_Sent_Report,Voucher Codes Sent Report,Voucher Codes Sent Report
table_heading.Language,Language,Language
label.physical_address,Physical address,Physical address
button.add_voucher_category,Add voucher category,Add voucher category
alert_error.invalid_ward_name,Invalid ward specified.,Invalid ward specified.
reportstableheading.Voucher_report_per_county_per_depot,Voucher report per county per depot,Voucher report per county per depot
alert.farmer.request.voucher_batch_not_found,No Voucher Batches match your Request Code,No Voucher Batches match your Request Code
input.Description,Description,Description
button.Assign_Filter,Assign Filter,Assign Filter
column_heading.res,Res,Res
reports_preregisteredfarmers.Pre-Registered_Farmers,Pre-Registered Farmers,Pre-Registered Farmers
column.subsidy_per_bag,Subsidy per bag,Subsidy per bag
reports_depotagrodealer.Depot/Agro_Dealer,Depot/Agro Dealer,Depot/Agro Dealer
input.Re-Enroll,Re-Enroll,Re-Enroll
alert.field.validation.decimal,{uFieldName} needs to be a valid decimal.,{uFieldName} needs to be a valid decimal.
column.regCertNumber,RegCertNumber,RegCertNumber
column_heading.First_Name,First Name,First Name
column.stock_level,Stock level,Stock level
column_heading.expiry,Expiry,Expiry
input.sms_message,Sms message,Sms message
custom_header.crop38,{DashboardUtil:uCrop38},{DashboardUtil:uCrop38}
view_heading.edit_User_Group,Edit User Group,Edit User Group
alert.object.updated,{uObjectName} updated.,{uObjectName} updated.
alert.error.farmer_not_found,Farmer not found,Farmer not found
custom_header.crop98,{DashboardUtil:uCrop98},{DashboardUtil:uCrop98}
error.location_level_four,Level 4 cannot be empty,Level 4 cannot be empty
view_heading.farmer_Profile_-_Crops,Farmer Profile - Crops,Farmer Profile - Crops
custom_header.crop99,{DashboardUtil:uCrop99},{DashboardUtil:uCrop99}
view_heading.create_Internal_Support,Create Internal Support,Create Internal Support
column.Voucher_Batch,Voucher Batch,Voucher Batch
column.weight,Weight,Weight
button.All_Location_Hierarchy,All Location Hierarchy,All Location Hierarchy
label.payment_Preference,Payment Preference,Payment Preference
view_heading.Manage_Categories,Manage Categories,Manage Categories
column_heading.Code_Source,Code Source,Code Source
column_heading.farmer.leasedlrnumber,leasedlrnumber,leasedlrnumber
alert.uploadfile.confirmdeletedone,Uploaded file has been deleted.,Uploaded file has been deleted.
custom_header.hierarchy_level_one,Hierarchy level one,Hierarchy level one
view_heading.User_Message,User Message,User Message
label.template,Template,Template
reports_generic.String_Value,String Value,String Value
info.action,Action,Action
input.To_Date,To Date,To Date
alert.uploadfile.no_fileupload,No file has been uploaded,No file has been uploaded
