translationKey,sourceValue,overrideValue
table_column_heading.location_level_two,location_level_two,location_level_two
label.Max_Bags_Allowed_per_Voucher,Max Packages Allowed per Voucher,Max Packages Allowed per Voucher
custom_header.crop2,{DashboardUtil:uCrop2},{DashboardUtil:uCrop2}
column_heading.farmer.farmownership,eligibleunitownership,eligibleunitownership
column.number_of_plots,Number of plots,Number of plots
column.module,Module,Module
alert_success.resend.vouchers_found,There were {count} vouchers found. Notifications sent.,There were {count} vouchers found. Notifications sent.
button.Create_message,Create message,Create message
custom_header.crop46,{DashboardUtil:uCrop46},{DashboardUtil:uCrop46}
table_heading.agro_dealer_profile,Retailer profile,Retailer profile
button.sms_logs,Sms logs,Sms logs
textfield.addComment,New Comment,New Comment
custom_header.crop79,{DashboardUtil:uCrop19},{DashboardUtil:uCrop19}
column_heading.archived,Archived,Archived
reports_farmername.Farmer_Name,Customer Name,Customer Name
button.add_group_member,Add group member,Add group member
alert.uploadfile.confirmdeletebody,Please confirm that you wish to delete this uploaded file?,Please confirm that you wish to delete this uploaded file?
button.Bulk_Management,Bulk Management,Bulk Management
label.lipa_Mpesa_Till_Number,Lipa Mpesa Till Number,Lipa Mpesa Till Number
custom_header.crop23,{DashboardUtil:uCrop23},{DashboardUtil:uCrop23}
confirm_subject.archive,Archive?,Archive?
label.bankAccountHolder,BankAccountHolder,BankAccountHolder
custom_header.crop55,{DashboardUtil:uCrop55},{DashboardUtil:uCrop55}
button.Roles,Roles,Roles
button.users,Users,Users
custom_header.reportsgenerictemplate_column_int8,{ReportsGenericViewerLabels:column_int8},{ReportsGenericViewerLabels:column_int8}
view_heading.manage_Web_User,Manage Web User,Manage Web User
label.esub_status,Esub status,Esub status
alert_error.empty_group_collection,"Group is empty, please add some people.","Group is empty, please add some people."
reports_totalfarmers.Total_Farmers,Total Customers,Total Customers
button.view_members,View members,View members
alert.object.voucher_template_name_required,Voucher Template name required.,Voucher Template name required.
column_heading.Group_Price,Group Price,Group Price
alert.uploadfile.confirmschedulesubject,Schedule Confirmation,Schedule Confirmation
button.toggle,Toggle,Toggle
string_label.mobile_number,Mobile number,Mobile number
custom_header.stock_name,name,name
alert.role_updated,Role updated.,Role updated.
column.mobile_triggered,Mobile triggered,Mobile triggered
view_heading.pay_transaction_fee,Pay transaction fee,Pay transaction fee
confirm_body.finalise,Are you sure you want to finalise voucher {uCropVoucherCode}.?,Are you sure you want to finalise voucher {uCropVoucherCode}.?
label.Dob_*,Dob *,Dob *
button.add_crops,Add Criteria,Add Criteria
input.Message_Id,Message Id,Message Id
column.farm_size,Eligible unit,Eligible unit
column_heading.farmer.village,village,village
column_heading.Farmer,Customer,Customer
enum.ORDER_STATUS.BankDeposit,Bank Deposit,Bank Deposit
confirm_subject.Archive_Item,Archive Item,Archive Item
view_heading.View_Sms_Content,View Sms Content,View Sms Content
column.businessPermitNumber,BusinessPermitNumber,BusinessPermitNumber
alert.error.farmer_not_found_in_location,Customer not found in this location,Customer not found in this location
table_heading.Enterprises_by_reportlevel,Enterprises by reportlevel,Enterprises by reportlevel
reportsviewheading.Configurable_Forms,Configurable Forms,Configurable Forms
input.Archived,Archived,Archived
label.Total_Amount,Total Amount,Total Amount
column.weight,Weight,Weight
label.Location,Location,Location
alert_error.invalid_farm_size,Invalid eligible units,Invalid eligible units
button.Actions,Actions,Actions
label.village,Village,Village
label.bags_available,Packages available,Packages available
custom_header.reportsgenerictemplate_column_datetime1,{ReportsGenericViewerLabels:column_datetime1},{ReportsGenericViewerLabels:column_datetime1}
alert.parameter.null,Null parameter passed {fSource},Null parameter passed {fSource}
enum.ORDER_STATUS.Partial_Delivery,Partial Delivery,Partial Delivery
column.fee_received,Fee received,Fee received
alert.Configurable_Drop_Down_Still_Active,Configurable Drop Down still active,Configurable Drop Down still active
column_heading.Mobile_Number,Mobile Number,Mobile Number
string_label.Current_Role,Current Role,Current Role
alert.uploadfile.confirmprocesswitherrors,The uploaded file has been processed with some errors. Please see error log below.,The uploaded file has been processed with some errors. Please see error log below.
view_heading.Create_Sms_Language,Create Sms Language,Create Sms Language
custom_header.Ward_Header,{Reportviewer:uWardHeader},{Reportviewer:uWardHeader}
column_heading.Row,Row,Row
column_heading.quantity,Quantity,Quantity
column.units,Units,Units
label.Report,Report,Report
column_heading._Status,Status,Status
column_heading.value,Value,Value
alert.voucher.not_found,Voucher {fCode} not found.,Voucher {fCode} not found.
column_heading.form_description,Form description,Form description
view_heading.Edit_Sms_Language,Edit Sms Language,Edit Sms Language
column.qty_selected,Qty selected,Qty selected
column_heading.farmer.gender,gender,gender
column.By_Time,By Time,By Time
reportsviewheading.Daily_registration,Daily registration,Daily registration
column.Percentage_of_farmers_with_GPS_coordinates,Percentage of Customers with GPS coordinates,Percentage of Customers with GPS coordinates
column_heading.object_uuid,Object uuid,Object uuid
view_heading.view_Location,View Location,View Location
reportsviewheading.Reports_Permission,Reports Permission,Reports Permission
reportsviewheading.Subsidy_Finance_Report,Subsidy Finance Report,Subsidy Finance Report
custom_header.crop6,{DashboardUtil:uCrop6},{DashboardUtil:uCrop6}
button.Assign,Assign,Assign
info.status,Status,Status
table_heading.role_group_profile,Role group profile,Role group profile
button_heading.view_paid_deposits,View Paid Deposit,View Paid Deposit
table.Questions,Questions,Questions
alert.object.voucher_batch_no_location,"Please select a location. If none exist, please create locations first.","Please select a location. If none exist, please create locations first."
column_heading.Date_Paid,Date Paid,Date Paid
view_heading.manage_extension_officer_profile,Manage Agent profile,Manage Agent profile
info.scheduled_function_config_archived,Scheduled Function archived,Scheduled Function archived
column_heading.language,Language,Language
alert.farmer.request.code_null,Request code is null,Request code is null
label.custom_Role_Name,Custom Role Name,Custom Role Name
alert.object.updated,{uObjectName} updated.,{uObjectName} updated.
label.bankAccountNumber,BankAccountNumber,BankAccountNumber
confirm_subject.remove,Remove Role,Remove Role
custom_header.reportsgenerictemplate_column_int9,{ReportsGenericViewerLabels:column_int9},{ReportsGenericViewerLabels:column_int9}
label.postal_address,Postal address,Postal address
custom_header.crop20,{DashboardUtil:uCrop20},{DashboardUtil:uCrop20}
label.VAT_Number,VAT Number,VAT Number
table_heading.action,Action,Action
column_heading.category,Category,Category
confirm_body.archive_location,Are you sure you would like to delete this Location?,Are you sure you would like to delete this Location?
column.middleName,MiddleName,MiddleName
column_heading.farmer.nokfirstname,nokfirstname,nokfirstname
column_heading.Current_Translation,Current Translation,Current Translation
button.roles,Roles,Roles
custom_header.crop75,{DashboardUtil:uCrop75},{DashboardUtil:uCrop75}
custom_header.crop92,{DashboardUtil:uCrop92},{DashboardUtil:uCrop92}
reportstableheading.Filtered_Voucher_Redemption_Report,Filtered Voucher Redemption Report,Filtered Voucher Redemption Report
view_heading.create_benefit_template,Create benefit template,Create benefit template
label.units,Units,Units
label.Units,Units,Units
custom_header.reportsgenerictemplate_column_datetime3,{ReportsGenericViewerLabels:column_datetime3},{ReportsGenericViewerLabels:column_datetime3}
table_heading.Content,Content,Content
column.User,User,User
column_heading.VersionKey,VersionKey,VersionKey
custom_header.reportsgenerictemplate_column_int5,{ReportsGenericViewerLabels:column_int5},{ReportsGenericViewerLabels:column_int5}
column.Date_of_Birth,Date of Birth,Date of Birth
button.add_action,Add action,Add action
reportstableheading.Stock_Recon_Report,Stock Recon Report,Stock Recon Report
column.reserved,Reserved,Reserved
alert_error.invalid_dob,No date of birth specified.,No date of birth specified.
view_heading.Outbound_bulk_messages,Outbound bulk messages,Outbound bulk messages
view_heading.view_agro_dealer_transaction,View retailer transaction,View retailer transaction
view_heading.manage_stock_transaction,Manage stock transaction,Manage stock transaction
reports_bagshandled.No_of_Bags_handled,No of Packages handled,No of Packages handled
column.Product_Name,Product Name,Product Name
button.add_internal_support,Add internal support,Add internal support
button.refresh,Refresh,Refresh
label.destination,Destination,Destination
custom_header.hierarchy_level_two,{LocationsHierarchy:uLocationLevelTwo},{LocationsHierarchy:uLocationLevelTwo}
label.Farmer_mobile,Customer Mobile,Customer Mobile
alert.farmer.request.voucher_exists_active,Voucher already issued. Code: {voucherCode},Voucher already issued. Code: {voucherCode}
alert_error.sms.no_mobile,No mobile number.,No mobile number.
menu_item.EnterpriseGroups,EnterpriseGroups,EnterpriseGroups
custom_header.reportsgenerictemplate_column_date3,{ReportsGenericViewerLabels:column_date3},{ReportsGenericViewerLabels:column_date3}
button.issue,Issue,Issue
label.Filter_By_Location,Filter By Location,Filter By Location
alert_error.no_actions_assigned,Please contact your system administrator to add actions for this Role.,Please contact your system administrator to add actions for this Role.
view_heading.edit_agro_dealer_transaction,Edit Retailer transaction,Edit Retailer transaction
table_heading.Farmers_by_Gender,Customers by Gender,Customers by Gender
column.Farmers_with_GPS_coordinates,Customers with GPS coordinates,Customers with GPS coordinates
alert.button.error,No comment added,No comment added
button.View,View,View
alert.crop.still_active,Criterion is still in use by the system.,Criterion is still in use by the system.
view_heading.audit_Logs,Audit Logs,Audit Logs
table_heading.farmer,Customer,Customer
custom_header.crop81,{DashboardUtil:uCrop81},{DashboardUtil:uCrop81}
column.processing,Processing,Processing
custom_header.reportsgenerictemplate_column_date4,{ReportsGenericViewerLabels:column_date4},{ReportsGenericViewerLabels:column_date4}
custom_header.crop50,{DashboardUtil:uCrop50},{DashboardUtil:uCrop50}
view_heading.error_logs,Error logs,Error logs
column_heading.Bank_Deposit_Date,Bank Deposit Date,Bank Deposit Date
column.content,Content,Content
info.Upload_Time,Upload Time,Upload Time
label.kephisCertNumber,KephisCertNumber,KephisCertNumber
table_column_heading.location_level_four,location_level_four,location_level_four
custom_header.reportsgenerictemplate_column_decimal8,{ReportsGenericViewerLabels:column_decimal8},{ReportsGenericViewerLabels:column_decimal8}
column.Enrolled,Enrolled,Enrolled
view_heading.transaction_fee_history,Transaction fee history,Transaction fee history
column_heading.farmer.status,status,status
table_heading.benefit_templates,Benefit templates,Benefit templates
label.voucher_active_days,Voucher active days,Voucher active days
custom_header.reportsgenerictemplate_column_int6,{ReportsGenericViewerLabels:column_int6},{ReportsGenericViewerLabels:column_int6}
label.Location_Name,Location Name,Location Name
result.config_description_not_set,Config description not set.,Config description not set.
alert.field.validation.integer,{uFieldName} needs to be a valid integer.,{uFieldName} needs to be a valid integer.
info.LastUpdatePath,LastUpdatePath,LastUpdatePath
column_heading.Error,Error,Error
button.hierarchy,Hierarchy,Hierarchy
button.add_service_point,Add service point,Add service point
reportsviewheading.Farmer_Registration_Status,Customer Registration Status,Customer Registration Status
custom_header.reportsgenerictemplate_column_string10,{ReportsGenericViewerLabels:column_string10},{ReportsGenericViewerLabels:column_string10}
button.Rejected_Uploads,Rejected Uploads,Rejected Uploads
label.bag_subsidy,Package subsidy,Package subsidy
table_heading.Farmer_Crop_Vouchers_Report_Detail,Customer Criterion Vouchers Report Detail,Customer Criterion Vouchers Report Detail
column_heading.Product_Code,Product Code,Product Code
table_heading.Vouchers,Vouchers,Vouchers
column_heading.Type,Type,Type
custom_header.Farmers_by_reportlevel,Customers by {DashboardUtil:uReportLevelName},Customers by {DashboardUtil:uReportLevelName}
info.Type,Type,Type
reports_reportdescription.Internal_Notes,Internal Notes,Internal Notes
custom_header.question_2,{Reportviewer:uQuestion2Header},{Reportviewer:uQuestion2Header}
custom_header.crop25,{DashboardUtil:uCrop25},{DashboardUtil:uCrop25}
button.next,Next,Next
button.add_agro_dealer_transaction,Add retailer transaction,Add retailer transaction
view_heading.manage_Agro_Dealer_Payments,Manage Retailer Payments,Manage Retailer Payments
input.label.toDate,ToDate,ToDate
view_heading.edit_Location,Edit Location,Edit Location
view_heading.create_Service_Point_Type,Create Service Point Type,Create Service Point Type
enum.ORDER_STATUS.Delivered,Delivered,Delivered
alert.object.voucher_batch_no_season,Please select a season.,Please select a season.
button.Complete,Complete,Complete
alert.object.voucher_batch_no_days,Please enter a valid number for Active voucher days.,Please enter a valid number for Active voucher days.
reportsviewheading.Stock_Recon_Report,Stock Recon Report,Stock Recon Report
table_heading.stock_item,Stock item,Stock item
alert.common.generic,{message},{message}
label.Voucher_Code,Voucher Code,Voucher Code
alert.farmer.request.voucher_error,Something went wrong creating the Voucher,Something went wrong creating the Voucher
view_heading.view_service_point_type,Stock Locations,Stock Locations
custom_header.crop19,{DashboardUtil:uCrop19},{DashboardUtil:uCrop19}
label.id_number_*,Id number *,Id number *
table_heading.SMS_log,SMS log,SMS log
button.Point_In_Time,Point In Time,Point In Time
view_heading.Stock_Recon,Stock Recon,Stock Recon
label.Group_Id,Group Id,Group Id
reports_sno.S/No,S/No,S/No
column_heading.location_level_two,Level 2,Level 2
table_heading.Transactions_history,Transactions history,Transactions history
button.action,Action,Action
view_heading.agro_Dealer_Profile,Retailer Profile,Retailer Profile
alert.active_service_points_found,Cannot archive Service Point Type there are active service points.,Cannot archive Service Point Type there are active service points.
label.middleName,MiddleName,MiddleName
input.Dropdown_Item,Dropdown Item,Dropdown Item
column_heading.Level,Level,Level
custom_header.crop5,{DashboardUtil:uCrop5},{DashboardUtil:uCrop5}
button_heading.Submit,Submit,Submit
view_heading.Default_Data_Population,Default Data Population,Default Data Population
label.English_Content,English Content,English Content
column_heading.order_paid_date,Date Paid,Date Paid
stringgroup.VersionKey,VersionKey,VersionKey
fileupload.Bank_Deposits,Bank Deposits,Bank Deposits
label.bags_redeemed,Packages redeemed,Packages redeemed
column.date_expired,Date expired,Date expired
column.finalised,Finalised,Finalised
info.Uploader_Name,Uploader Name,Uploader Name
alert.object.voucher_batch_start_end_date,Start date needs to be less than End date,Start date needs to be less than End date
column.county,County,County
label.dob,Dob,Dob
table_heading.voucher_batch_transaction,Voucher batch transaction,Voucher batch transaction
alert.stock.insufficient_amount,There is insufficient Stock available to process the transfer,There is insufficient Stock available to process the transfer
column_heading.characters,Characters,Characters
label.paid,Paid,Paid
column_heading.key,Key,Key
alert_error.required_field,Please note this field is required.,Please note this field is required.
string_label.Device_Model,Device Model,Device Model
confirm_subject.removing_identity,Delete identification,Delete identification
error.location_level_eight,Level 8 cannot be empty,Level 8 cannot be empty
column.Date_Synced,Date Synced,Date Synced
alert.object.voucher_batch_invalid_dates,Voucher Batch has invalid date parameters,Voucher Batch has invalid date parameters
view_heading.manage_agro_dealer_profile,Manage Retailer profile,Manage Retailer profile
label.lipa_mpesa_number,Lipa mpesa number,Lipa mpesa number
heading.Filter_for_user_recipients,Filter for user recipients,Filter for user recipients
datefield.End_Date,End Date,End Date
view_heading.view_agro_dealer_profile,View retailer profile,View retailer profile
reports_balance.Quantity_Balance,Quantity Balance,Quantity Balance
table_heading.farmer_recruitment,Customer recruitment,Customer recruitment
button.Refresh_Filter,Refresh Filter,Refresh Filter
column.By_Date,By Date,By Date
custom_header.location_level_two,{UploadLocations:uLocationLevelTwo},{UploadLocations:uLocationLevelTwo}
custom_header.crop10,{DashboardUtil:uCrop10},{DashboardUtil:uCrop10}
view_heading.farmer_bulk_message,Customer bulk message,Customer bulk message
custom_header.hierarchy_level_ten,{LocationsHierarchy:uLocationLevelTen},{LocationsHierarchy:uLocationLevelTen}
column.County,County,County
column.Error_Message,Error Message,Error Message
view_heading.view_Service_Point_Users,View Service Point Users,View Service Point Users
alert_error.object_not_found,Object not found.,Object not found.
reportstableheading.Redeemed_Vouchers_Report,Redeemed Vouchers Report,Redeemed Vouchers Report
column_heading.farmer.cropstatus,criterionstatus,criterionstatus
view_heading.Group_Message,Group Message,Group Message
column.JourneryAppVersion,JourneryAppVersion,JourneryAppVersion
info.approved,Messages approved.,Messages approved.
reportsviewheading.Voucher_Redemption_Report,Voucher Redemption Report,Voucher Redemption Report
custom_header.Total_Answers,{Reportviewer:uTotalHeader},{Reportviewer:uTotalHeader}
custom_header.crop86,{DashboardUtil:uCrop86},{DashboardUtil:uCrop86}
info.Uploader_Mobile,Uploader Mobile,Uploader Mobile
column_heading.location_level_five,Level 5,Level 5
info.Number_of_recipients_in_roles,Number of recipients in roles,Number of recipients in roles
table_heading.service_point_type,Service point type,Service point type
column_heading.user_role,User role,User role
label.mobile_number,Mobile number,Mobile number
alert_error.template.exists,{field}: already exists.,{field}: already exists.
result.config_value_updated,Config value updated.,Config value updated.
input_label.registered_on_farm,Registered on Residential Place,Registered on Residential Place
row_action._Trigger,Trigger,Trigger
label.Order_Number,Order Number,Order Number
custom_header.crop77,{DashboardUtil:uCrop77},{DashboardUtil:uCrop77}
confirm_body.remove_web_user_role,Are you sure you would like to remove this Role from this user?,Are you sure you would like to remove this Role from this user?
reportstableheading.Eligible_Voucher_Request_Report,Eligible Voucher Request Report,Eligible Voucher Request Report
input.Message_Type,Message Type,Message Type
column_heading.priority,Priority,Priority
column_heading.schedule,Schedule,Schedule
column_heading.role,Role,Role
label.quantity,Quantity,Quantity
table_heading.Language,Language,Language
table_heading.Sms_Content,Sms Content,Sms Content
custom_header.location_level_one,{UploadLocations:uLocationLevelOne},{UploadLocations:uLocationLevelOne}
confirm_body.Archive_Item,Are you sure you would like to archive this drop down item?,Are you sure you would like to archive this drop down item?
view_heading.Location_Uploads_with_errors,Location Uploads with errors,Location Uploads with errors
table_heading.Comments,Comments,Comments
table_heading.voucher,Voucher,Voucher
view_heading.edit_benefit_template,Edit benefit template,Edit benefit template
column_heading.farmer.preferredlanguage,Preferredlanguage,Preferredlanguage
view_heading.User_Message,User Message,User Message
column_heading.Created_by,Created by,Created by
column.Shortcode,Shortcode,Shortcode
column.level,Level,Level
button_heading.test,Create Test,Create Test
alert_error.template_upload,Please remove template data.,Please remove template data.
custom_header.reportsgenerictemplate_column_string4,{ReportsGenericViewerLabels:column_string4},{ReportsGenericViewerLabels:column_string4}
label.size,Size,Size
reports_generic.Report_Element,Report Element,Report Element
button_heading.load,Load,Load
custom_header.crop70,{DashboardUtil:uCrop70},{DashboardUtil:uCrop70}
error.file_empty,File empty,File empty
alert.error.no_voucher_redeemer,Could not determine Voucher Redeemer,Could not determine Voucher Redeemer
label.Language,Language,Language
column.Recipient_Number,Recipient Number,Recipient Number
button.audit_logs,Audit logs,Audit logs
custom_header.crop16,{DashboardUtil:uCrop16},{DashboardUtil:uCrop16}
column.cost_per_bag,Cost per Package,Cost per Package
column.voucher_batch,Voucher batch,Voucher batch
table.Added_roles,Added roles,Added roles
view_heading.Agrodealer_Menu,Retailer Menu,Retailer Menu
view_heading.Send_SMS,Send SMS,Send SMS
input.config_key,Config key,Config key
view_heading.edit_Web_User,Edit Web User,Edit Web User
view_heading.activity_log,Activity log,Activity log
custom_header.crop17,{DashboardUtil:uCrop17},{DashboardUtil:uCrop17}
custom_header.reportsgenerictemplate_column_decimal4,{ReportsGenericViewerLabels:column_decimal4},{ReportsGenericViewerLabels:column_decimal4}
label.size_*,Size *,Size *
column_heading.modified,Modified,Modified
button.capture,Capture,Capture
custom_header.crop94,{DashboardUtil:uCrop94},{DashboardUtil:uCrop94}
info.BitBucketInformation,BitBucketInformation,BitBucketInformation
label.customRoleName,CustomRoleName,CustomRoleName
custom_header.question_7,{Reportviewer:uQuestion7Header},{Reportviewer:uQuestion7Header}
alert.object.created,{uObjectName} created.,{uObjectName} created.
column_heading.expired,Expired,Expired
label.RoleGroup,RoleGroup,RoleGroup
column_heading.Number_of_recipients,Number of recipients,Number of recipients
table_heading.Available_Actions,Available Actions,Available Actions
label.date_created,Date created,Date created
label.Include_Own_Level,Include Own Level,Include Own Level
alert_error.max_uploads,Maximum number of successful uploads reached.,Maximum number of successful uploads reached.
string_label.first_name,First name,First name
label.end,End,End
custom_header.hierarchy_level_one,{LocationsHierarchy:uLocationLevelOne},{LocationsHierarchy:uLocationLevelOne}
reportstableheading.Detailed_Fertilizer_Balance_per_Depot/Agro_dealer,Detailed Benefit Balance per Retailer,Detailed Benefit Balance per Retailer
column_heading.farmer.nokmobilenumber,nokmobilenumber,nokmobilenumber
custom_header.crop53,{DashboardUtil:uCrop53},{DashboardUtil:uCrop53}
textfield.New_Comment,New Comment,New Comment
column.bag_subsidy,Package subsidy,Package subsidy
column.businessName,BusinessName,BusinessName
label.datetime_modified,Datetime modified,Datetime modified
column_heading.order_number,Order Number,Order Number
label.Bags_Cost,Packages Cost,Packages Cost
view_heading.view_Internal_Support,View Internal Support,View Internal Support
label.Bags_selected,Packages selected,Packages selected
label.physical_address,Physical address,Physical address
table_heading.activity_logs,Activity logs,Activity logs
